montante_financiado,prazo,taxa_de_juros,parcela,tempo_de_emprego,propriedade_de_casa,renda_anual,status_de_verificacao,status_do_emprestimo,finalidade,divida_sobre_renda,inadimplencias_2_anos,score_de_credito,numero_de_dependentes,anos_na_residencia_atual
6290.0,Curto,16.4%,235.67000000000002,6 anos,Alugado,76000.0,Fonte Verificada,Não Pago,Cartão de Crédito,6.5%,0,415.13076794935864,1,2
2314.0,Curto,15.6%,90.56,menos de 1 ano,Alugado,18000.0,Fonte Verificada,Pago,Consolidação de Dívida,15.1%,0,479.26603364984175,2,6
14419.0,Curto,18.2%,525.0699999999999,5 anos,Alugado,50871.0,Verificado,Não Pago,Consolidação de Dívida,7.8%,0,497.45633849741796,2,7
3732.0,Curto,11.0%,124.86,mais de 10 anos,Alugado,42724.0,Não Verificado,Pago,Casamento,17.4%,0,531.9134765950358,3,4
10027.0,Curto,13.0%,349.01000000000005,3 anos,Alugado,160000.0,Não Verificado,Não Pago,Consolidação de Dívida,24.0%,0,430.72796934865903,4,3
4872.0,Curto,7.7%,164.51,5 anos,Empréstimo,39000.0,Não Verificado,Pago,Melhoria da Casa,11.5%,0,422.6653339996668,2,11
35029.0,Longo,15.7%,845.61,mais de 10 anos,Empréstimo,77000.0,Verificado,Pago,Consolidação de Dívida,17.6%,1,474.1974012993503,1,3
12393.0,Longo,14.3%,291.06,6 anos,Empréstimo,55000.0,Fonte Verificada,Pago,Consolidação de Dívida,21.4%,0,472.7314675995336,5,10
16125.0,Curto,7.9%,508.76,7 anos,Empréstimo,75000.0,Fonte Verificada,Pago,Consolidação de Dívida,10.6%,0,426.064134599367,3,1
11026.0,Curto,11.1%,365.53999999999996,6 anos,Empréstimo,105368.0,Verificado,Pago,Casamento,1.5%,0,258.08765617191403,6,2
15311.0,Longo,16.8%,385.06,2 anos,Empréstimo,69000.0,Fonte Verificada,Não Pago,Férias,20.9%,0,543.664334499417,5,4
22719.0,Longo,13.5%,524.2199999999999,menos de 1 ano,Próprio,71871.0,Verificado,Pago,Consolidação de Dívida,8.2%,0,319.85563884724303,1,4
12505.0,Curto,11.8%,419.93,5 anos,Empréstimo,156000.0,Não Verificado,Pago,Educação,17.4%,0,289.4614359486923,4,6
13660.0,Longo,14.0%,320.49,mais de 10 anos,Empréstimo,179000.0,Não Verificado,Pago,Pequena Empresa,15.1%,1,416.9940029985008,0,6
8432.0,Longo,15.2%,204.86,mais de 10 anos,Alugado,592000.0,Fonte Verificada,Pago,Consolidação de Dívida,1.8%,0,506.5135765450608,4,4
25107.0,Longo,16.0%,615.02,1 ano,Alugado,101004.0,Verificado,Pago,Casa,6.1%,0,529.7968682325504,1,9
2345.0,Longo,16.4%,62.88,menos de 1 ano,Alugado,12004.0,Fonte Verificada,Não Pago,Outro,6.9%,0,464.86650008329167,1,3
4469.0,Curto,13.5%,162.14,2 anos,Alugado,48000.0,Não Verificado,Não Pago,Consolidação de Dívida,11.8%,0,351.2650341495919,1,9
9118.0,Curto,17.2%,331.35,menos de 1 ano,Próprio,30004.0,Verificado,Pago,Outro,22.0%,0,281.06590038314175,3,4
8418.0,Curto,7.9%,269.55,,Alugado,38500.0,Não Verificado,Pago,Consolidação de Dívida,18.3%,0,465.632017324671,0,5
8064.0,Longo,15.2%,199.48000000000002,6 anos,Alugado,49333.0,Verificado,Pago,Outro,20.9%,0,270.3538564051308,1,12
11919.0,Longo,17.6%,306.28000000000003,5 anos,Empréstimo,103000.0,Verificado,Pago,Consolidação de Dívida,19.5%,0,481.92986839913374,1,5
10016.0,Curto,10.2%,329.21000000000004,7 anos,Alugado,54000.0,Não Verificado,Pago,Consolidação de Dívida,16.3%,0,458.6648342495419,10,7
10972.0,Curto,9.9%,361.76,8 anos,Alugado,42000.0,Verificado,Pago,Casamento,4.1%,0,343.86523404964186,0,9
9137.0,Curto,8.9%,287.27,9 anos,Alugado,44140.0,Não Verificado,Não Pago,Consolidação de Dívida,11.3%,0,552.0078294186239,2,3
7132.0,Longo,18.6%,189.46,menos de 1 ano,Próprio,36000.0,Verificado,Pago,Consolidação de Dívida,9.8%,0,272.4654339496918,1,9
11947.0,Curto,9.6%,392.71999999999997,menos de 1 ano,Empréstimo,34000.0,Não Verificado,Não Pago,Carro,15.0%,0,287.3321672497085,1,5
7930.0,Curto,11.3%,264.15999999999997,3 anos,Empréstimo,27000.0,Não Verificado,Pago,Consolidação de Dívida,9.8%,0,539.8657337997668,3,1
22272.0,Longo,16.8%,560.11,8 anos,Empréstimo,50690.48,Verificado,Não Pago,Consolidação de Dívida,24.9%,0,411.44430984507744,0,5
17139.0,Longo,11.5%,379.19,6 anos,Alugado,61000.0,Verificado,Não Pago,Consolidação de Dívida,16.1%,0,399.1312676994836,0,5
1968.0,Curto,7.7%,71.99,mais de 10 anos,Empréstimo,32000.0,Fonte Verificada,Não Pago,Cartão de Crédito,24.0%,0,503.1989005497251,3,9
6034.0,Curto,14.5%,213.76,1 ano,Alugado,47000.0,Não Verificado,Pago,Consolidação de Dívida,1.6%,1,369.1984007996002,2,8
8431.0,Curto,11.0%,276.28000000000003,3 anos,Alugado,58000.0,Fonte Verificada,Pago,Consolidação de Dívida,6.9%,0,349.93136764950856,4,6
6941.0,Curto,10.7%,233.43,mais de 10 anos,Alugado,82000.0,Fonte Verificada,Pago,Consolidação de Dívida,5.2%,0,441.53056804930867,8,6
15039.0,Curto,7.9%,473.35,mais de 10 anos,Empréstimo,124000.0,Verificado,Pago,Consolidação de Dívida,16.4%,0,356.32916874895886,1,8
17590.0,Curto,17.2%,637.39,5 anos,Alugado,99000.0,Verificado,Pago,Cartão de Crédito,20.7%,0,367.6633349991671,2,6
30088.0,Longo,17.9%,761.64,1 ano,Empréstimo,129000.0,Verificado,Pago,Compra Importante,6.8%,1,524.6623354989172,1,1
12096.0,Longo,13.0%,275.94,7 anos,Alugado,113000.0,Verificado,Pago,Consolidação de Dívida,12.8%,0,536.5962018990505,1,7
15995.0,Longo,16.8%,397.31,mais de 10 anos,Próprio,54000.0,Verificado,Não Pago,Consolidação de Dívida,22.6%,0,300.6648342495419,3,1
35119.0,Longo,19.7%,931.51,4 anos,Empréstimo,150000.0,Verificado,Não Pago,Cartão de Crédito,11.0%,2,436.0616358487423,3,2
1990.0,Curto,7.9%,71.46000000000001,9 anos,Empréstimo,46600.0,Fonte Verificada,Pago,Cartão de Crédito,11.5%,3,316.1717474596035,2,12
6043.0,Curto,16.8%,213.86,,Alugado,30124.0,Não Verificado,Não Pago,Melhoria da Casa,9.2%,0,318.07389638514076,2,12
13062.0,Curto,15.3%,468.09,menos de 1 ano,Empréstimo,113000.0,Verificado,Pago,Cartão de Crédito,10.4%,1,294.59620189905047,0,5
2072.0,Curto,7.1%,65.02,4 anos,Empréstimo,101000.0,Fonte Verificada,Pago,Compra Importante,5.2%,0,362.7966016991504,5,3
25036.0,Curto,11.8%,833.16,mais de 10 anos,Empréstimo,238800.0,Verificado,Não Pago,Melhoria da Casa,2.5%,0,470.9786773280027,6,3
6060.0,Curto,10.0%,194.05,menos de 1 ano,Alugado,70000.0,Fonte Verificada,Pago,Consolidação de Dívida,4.2%,0,264.7309678494086,5,9
20143.0,Curto,11.3%,659.54,1 ano,Outro,55000.0,Não Verificado,Não Pago,Outro,5.2%,2,259.7314675995336,6,4
19934.0,Longo,11.9%,450.27000000000004,3 anos,Alugado,50000.0,Verificado,Pago,Casamento,15.9%,0,475.3983008495752,2,5
11906.0,Curto,9.9%,391.34,mais de 10 anos,Alugado,57000.0,Não Verificado,Não Pago,Consolidação de Dívida,13.0%,0,345.8647342995169,5,8
19867.0,Longo,10.7%,441.0,mais de 10 anos,Empréstimo,95000.0,Verificado,Pago,Consolidação de Dívida,22.7%,0,530.3968015992004,5,11
2255.0,Curto,5.4%,69.54,2 anos,Próprio,56000.0,Não Verificado,Pago,Casamento,12.0%,0,321.79810094952524,1,7
19991.0,Curto,11.5%,665.8,menos de 1 ano,Empréstimo,94000.0,Não Verificado,Não Pago,Pequena Empresa,17.8%,0,529.3301682492088,3,6
14041.0,Curto,16.9%,506.52,1 ano,Alugado,124400.0,Verificado,Pago,Cartão de Crédito,18.2%,0,500.3558220889555,1,5
4568.0,Longo,16.0%,116.2,5 anos,Alugado,50000.0,Não Verificado,Pago,Consolidação de Dívida,13.0%,1,421.3983008495752,2,10
11861.0,Curto,7.9%,377.25,mais de 10 anos,Empréstimo,79000.0,Não Verificado,Não Pago,Consolidação de Dívida,11.1%,0,493.3306679993337,1,12
11858.0,Curto,13.5%,407.54,1 ano,Alugado,54000.0,Não Verificado,Não Pago,Consolidação de Dívida,14.5%,0,416.6648342495419,3,1
8961.0,Curto,6.0%,282.79,5 anos,Alugado,65000.0,Verificado,Pago,Consolidação de Dívida,15.0%,0,304.39780109945025,2,9
3705.0,Curto,16.0%,130.14,3 anos,Alugado,41000.0,Fonte Verificada,Pago,Mudança,12.8%,0,424.7986006996502,2,5
9897.0,Curto,5.8%,306.58,mais de 10 anos,Alugado,40000.0,Não Verificado,Pago,Consolidação de Dívida,16.8%,0,316.7319673496585,0,8
14014.0,Longo,11.5%,315.84,menos de 1 ano,Empréstimo,75000.0,Verificado,Pago,Compra Importante,18.0%,0,520.064134599367,0,5
1794.0,Curto,12.6%,61.97,menos de 1 ano,Empréstimo,33000.0,Fonte Verificada,Pago,Outro,6.3%,0,477.2655338997168,3,6
9225.0,Curto,6.9%,290.29,4 anos,Empréstimo,116500.0,Fonte Verificada,Pago,Consolidação de Dívida,5.8%,0,377.82941862402134,2,3
10002.0,Longo,16.0%,247.2,1 ano,Alugado,58496.0,Verificado,Não Pago,Consolidação de Dívida,18.8%,0,256.96441779110444,6,4
10018.0,Curto,5.8%,312.4,3 anos,Próprio,49000.0,Não Verificado,Pago,Cartão de Crédito,16.2%,0,256.33166749958355,1,12
4735.0,Curto,11.0%,159.04999999999998,5 anos,Alugado,47000.0,Não Verificado,Não Pago,Consolidação de Dívida,21.2%,0,414.1984007996002,1,12
34949.0,Longo,18.6%,907.68,5 anos,Empréstimo,114000.0,Fonte Verificada,Não Pago,Consolidação de Dívida,11.4%,0,454.66283524904213,0,5
20143.0,Longo,11.5%,447.59,6 anos,Empréstimo,54000.0,Verificado,Pago,Melhoria da Casa,17.4%,0,377.6648342495419,1,2
12937.0,Curto,14.3%,454.94,2 anos,Empréstimo,68000.0,Fonte Verificada,Pago,Cartão de Crédito,9.0%,0,491.5977011494253,1,2
8090.0,Curto,16.8%,291.36,mais de 10 anos,Empréstimo,62000.0,Fonte Verificada,Pago,Consolidação de Dívida,12.1%,1,437.19790104947526,0,12
19657.0,Curto,10.7%,650.57,4 anos,Alugado,46000.0,Verificado,Não Pago,Consolidação de Dívida,22.8%,0,377.1317674496085,2,5
34980.0,Longo,17.5%,881.24,mais de 10 anos,Empréstimo,98000.0,Verificado,Não Pago,Pequena Empresa,6.2%,1,284.59670164917543,1,12
16085.0,Curto,10.2%,521.85,1 ano,Empréstimo,69000.0,Não Verificado,Pago,Cartão de Crédito,4.9%,0,292.66433449941695,2,6
9109.0,Curto,14.6%,317.68,,Alugado,40200.0,Não Verificado,Pago,Consolidação de Dívida,18.1%,0,361.74529401965685,5,12
4112.0,Curto,12.2%,140.39,menos de 1 ano,Alugado,32000.0,Fonte Verificada,Pago,Consolidação de Dívida,9.9%,0,327.1989005497251,1,12
13938.0,Longo,12.0%,312.24,5 anos,Empréstimo,85000.0,Verificado,Não Pago,Consolidação de Dívida,19.3%,0,512.7304680992837,10,5
11520.0,Curto,7.9%,369.11,mais de 10 anos,Próprio,59000.0,Não Verificado,Pago,Consolidação de Dívida,1.7%,0,481.9980009995003,3,9
11484.0,Curto,13.0%,387.83,5 anos,Alugado,35150.0,Fonte Verificada,Pago,Consolidação de Dívida,20.1%,0,311.4087956021989,1,7
2945.0,Curto,10.4%,101.1,1 ano,Alugado,40000.0,Não Verificado,Não Pago,Pequena Empresa,3.3%,0,378.7319673496585,1,6
7465.0,Curto,11.0%,251.54,mais de 10 anos,Alugado,58000.0,Não Verificado,Pago,Cartão de Crédito,21.1%,0,489.93136764950856,1,3
9906.0,Longo,9.6%,219.78,menos de 1 ano,Próprio,62000.0,Verificado,Não Pago,Melhoria da Casa,7.9%,3,305.19790104947526,3,6
10060.0,Curto,14.0%,349.53,1 ano,Alugado,68400.0,Verificado,Pago,Cartão de Crédito,19.6%,0,369.62435448942193,3,12
7873.0,Curto,11.0%,256.39,mais de 10 anos,Empréstimo,73000.0,Não Verificado,Pago,Casamento,17.9%,0,323.93086789938366,0,1
18068.0,Curto,12.1%,604.61,mais de 10 anos,Empréstimo,66000.0,Verificado,Não Pago,Cartão de Crédito,19.2%,0,496.46443444944197,0,1
20021.0,Curto,13.1%,675.4200000000001,menos de 1 ano,Empréstimo,76000.0,Verificado,Pago,Consolidação de Dívida,10.7%,0,326.13076794935864,0,12
8090.0,Curto,6.0%,248.79,mais de 10 anos,Alugado,53000.0,Não Verificado,Pago,Consolidação de Dívida,5.7%,0,314.59820089955025,5,1
12143.0,Curto,13.1%,409.79,5 anos,Alugado,49000.0,Não Verificado,Pago,Outro,6.7%,0,314.33166749958355,3,12
5095.0,Longo,11.1%,116.39,7 anos,Alugado,31800.0,Não Verificado,Pago,Carro,5.5%,0,274.1855738797268,1,8
12919.0,Curto,14.8%,450.81,2 anos,Empréstimo,138996.0,Não Verificado,Não Pago,Consolidação de Dívida,11.7%,0,470.32840246543395,0,8
15054.0,Longo,19.3%,392.03,mais de 10 anos,Empréstimo,68000.0,Fonte Verificada,Não Pago,Cartão de Crédito,20.0%,0,474.5977011494253,2,12
11953.0,Longo,12.7%,277.71,mais de 10 anos,Empréstimo,65500.0,Fonte Verificada,Não Pago,Consolidação de Dívida,17.6%,0,364.43111777444614,1,4
25134.0,Curto,13.6%,855.72,5 anos,Alugado,80000.0,Verificado,Pago,Consolidação de Dívida,14.6%,0,527.3973013493253,0,8
1485.0,Curto,17.5%,61.28,mais de 10 anos,Alugado,18600.0,Fonte Verificada,Pago,Melhoria da Casa,21.0%,1,449.30601365983676,1,3
25083.0,Longo,17.3%,632.3100000000001,6 anos,Empréstimo,56000.0,Verificado,Pago,Melhoria da Casa,6.1%,1,401.79810094952524,2,6
15898.0,Longo,11.1%,350.61999999999995,1 ano,Alugado,93000.0,Verificado,Pago,Compra Importante,11.3%,0,463.26353489921706,2,7
24013.0,Curto,18.3%,874.36,1 ano,Alugado,159000.0,Verificado,Não Pago,Consolidação de Dívida,14.6%,0,453.6613359986673,1,11
9911.0,Curto,10.4%,325.34000000000003,2 anos,Empréstimo,159656.0,Fonte Verificada,Não Pago,Melhoria da Casa,9.5%,0,398.7050474762619,3,1
8900.0,Curto,15.6%,324.09999999999997,menos de 1 ano,Outro,36996.0,Não Verificado,Pago,Outro,0.0%,0,292.53180076628354,1,4
4936.0,Curto,12.7%,168.7,2 anos,Próprio,45200.0,Não Verificado,Pago,Consolidação de Dívida,22.8%,0,516.0784607696153,2,7
20412.0,Longo,10.7%,448.51,mais de 10 anos,Próprio,77586.0,Fonte Verificada,Não Pago,Pequena Empresa,2.3%,0,368.23644844244546,0,5
11587.0,Longo,22.9%,331.46,3 anos,Alugado,60000.0,Fonte Verificada,Não Pago,Consolidação de Dívida,19.3%,0,283.06463434949194,0,12
20107.0,Curto,11.8%,665.0899999999999,mais de 10 anos,Próprio,65000.0,Verificado,Pago,Consolidação de Dívida,11.9%,0,441.39780109945025,1,3
18150.0,Longo,13.5%,422.36999999999995,mais de 10 anos,Empréstimo,46000.0,Verificado,Não Pago,Consolidação de Dívida,20.0%,0,418.1317674496085,1,12
10062.0,Longo,13.2%,229.76000000000002,4 anos,Alugado,73324.0,Fonte Verificada,Não Pago,Casamento,1.4%,0,409.95245710478093,4,10
29879.0,Longo,20.5%,805.76,5 anos,Alugado,67996.0,Verificado,Pago,Consolidação de Dívida,6.3%,0,302.59743461602534,1,4
7899.0,Curto,6.6%,251.48,3 anos,Alugado,62400.0,Não Verificado,Pago,Melhoria da Casa,1.1%,0,289.2245543894719,3,9
4888.0,Curto,14.8%,172.43,4 anos,Alugado,62000.0,Não Verificado,Pago,Mudança,7.0%,0,282.19790104947526,1,7
9267.0,Curto,12.5%,317.62,8 anos,Empréstimo,86000.0,Não Verificado,Não Pago,Pequena Empresa,18.6%,0,286.7971014492754,3,2
3975.0,Curto,11.9%,142.34,mais de 10 anos,Alugado,45000.0,Não Verificado,Não Pago,Férias,4.0%,0,275.06513409961684,8,11
12030.0,Longo,16.9%,302.14,7 anos,Empréstimo,104000.0,Não Verificado,Pago,Consolidação de Dívida,8.1%,0,484.99650174912546,2,1
6219.0,Curto,10.7%,206.09,5 anos,Alugado,82000.0,Verificado,Pago,Consolidação de Dívida,9.6%,0,490.53056804930867,1,4
11877.0,Curto,13.2%,411.11,menos de 1 ano,Alugado,26237.88,Não Verificado,Pago,Consolidação de Dívida,3.7%,0,550.8149511910711,10,1
12643.0,Longo,12.7%,292.53,6 anos,Empréstimo,70000.0,Fonte Verificada,Pago,Compra Importante,24.2%,0,495.7309678494086,1,5
9517.0,Curto,13.9%,335.06,mais de 10 anos,Empréstimo,112000.0,Não Verificado,Pago,Consolidação de Dívida,18.6%,0,514.5295685490588,3,2
1946.0,Curto,14.5%,73.03,menos de 1 ano,Empréstimo,32000.0,Fonte Verificada,Pago,Outro,17.8%,0,545.1989005497251,0,8
6947.0,Curto,8.9%,226.24,menos de 1 ano,Alugado,54000.0,Não Verificado,Pago,Compra Importante,1.7%,0,431.6648342495419,3,12
3641.0,Longo,17.3%,91.25,,Próprio,23000.0,Verificado,Não Pago,Consolidação de Dívida,14.3%,0,464.5992003998001,0,7
16913.0,Curto,11.6%,570.84,5 anos,Empréstimo,69642.0,Não Verificado,Pago,Consolidação de Dívida,11.8%,0,451.7071131101116,1,5
9734.0,Curto,7.9%,309.13,4 anos,Alugado,62000.0,Não Verificado,Pago,Outro,20.6%,0,356.19790104947526,0,3
7894.0,Curto,14.3%,280.95,menos de 1 ano,Alugado,86500.0,Não Verificado,Não Pago,Outro,11.6%,0,477.8304181242712,1,11
15988.0,Longo,6.9%,320.64,5 anos,Empréstimo,101000.0,Fonte Verificada,Pago,Consolidação de Dívida,3.0%,0,441.7966016991504,1,5
2776.0,Curto,10.0%,93.64,menos de 1 ano,Alugado,39000.0,Fonte Verificada,Pago,Mudança,8.4%,0,341.6653339996668,3,4
6096.0,Curto,16.8%,215.26000000000002,2 anos,Empréstimo,75000.0,Fonte Verificada,Pago,Consolidação de Dívida,7.0%,0,338.064134599367,1,7
21123.0,Curto,11.7%,699.5,menos de 1 ano,Alugado,98000.0,Verificado,Não Pago,Cartão de Crédito,9.8%,0,304.59670164917543,3,6
8878.0,Curto,5.4%,271.6,mais de 10 anos,Empréstimo,97000.0,Verificado,Pago,Consolidação de Dívida,2.1%,0,494.53006829918377,2,9
9854.0,Longo,9.2%,216.82000000000002,menos de 1 ano,Alugado,47400.0,Não Verificado,Não Pago,Pequena Empresa,17.2%,0,543.2250541395969,5,9
17155.0,Longo,13.7%,401.70000000000005,5 anos,Alugado,106000.0,Verificado,Não Pago,Outro,20.5%,0,312.1297684491088,6,3
9924.0,Curto,14.8%,347.18,8 anos,Próprio,60000.0,Verificado,Pago,Consolidação de Dívida,21.9%,0,344.06463434949194,5,3
10817.0,Longo,14.3%,264.34999999999997,,Empréstimo,19888.0,Verificado,Não Pago,Outro,6.5%,0,372.391837414626,0,8
12057.0,Curto,10.4%,395.06,5 anos,Alugado,47808.0,Fonte Verificada,Pago,Consolidação de Dívida,13.2%,1,496.25224054639347,2,9
7497.0,Curto,7.3%,234.63000000000002,2 anos,Empréstimo,64000.0,Verificado,Pago,Consolidação de Dívida,14.4%,0,254.3311677494586,1,7
21703.0,Longo,19.3%,568.04,mais de 10 anos,Alugado,91140.0,Fonte Verificada,Pago,Consolidação de Dívida,10.7%,0,375.13959686823256,3,4
30011.0,Longo,18.0%,762.29,7 anos,Alugado,55600.0,Verificado,Não Pago,Consolidação de Dívida,14.4%,0,541.7714476095286,3,10
9973.0,Curto,10.0%,328.03000000000003,1 ano,Alugado,35400.0,Fonte Verificada,Pago,Pequena Empresa,13.4%,0,473.4254539396968,1,6
14674.0,Curto,15.7%,515.16,3 anos,Próprio,98000.0,Não Verificado,Não Pago,Consolidação de Dívida,18.7%,0,267.59670164917543,5,12
2831.0,Curto,9.9%,93.47,mais de 10 anos,Próprio,96004.0,Não Verificado,Pago,Consolidação de Dívida,3.5%,0,508.46370148259206,0,9
6606.0,Longo,16.4%,171.38,6 anos,Alugado,48920.0,Fonte Verificada,Pago,Carro,2.3%,0,355.32633683158423,1,5
25039.0,Longo,17.6%,638.86,5 anos,Empréstimo,117000.0,Verificado,Pago,Consolidação de Dívida,19.1%,0,269.8627352990172,0,2
4052.0,Curto,12.7%,137.38,3 anos,Alugado,80000.0,Não Verificado,Pago,Outro,21.7%,0,506.39730134932535,0,3
4939.0,Curto,15.9%,183.35,4 anos,Alugado,59000.0,Não Verificado,Não Pago,Consolidação de Dívida,19.6%,0,300.9980009995003,0,6
2858.0,Curto,5.8%,100.13,9 anos,Alugado,86000.0,Não Verificado,Pago,Compra Importante,0.9%,0,360.7971014492754,2,12
1268.0,Curto,7.9%,43.589999999999996,2 anos,Alugado,19400.0,Fonte Verificada,Pago,Pequena Empresa,22.7%,1,261.3593203398301,5,3
18079.0,Curto,16.4%,641.9799999999999,9 anos,Alugado,70200.0,Não Verificado,Pago,Carro,20.2%,0,272.74429451940694,1,1
9947.0,Longo,19.0%,269.32,menos de 1 ano,Alugado,38088.0,Fonte Verificada,Não Pago,Consolidação de Dívida,16.8%,0,521.6045643844744,10,1
18621.0,Longo,12.4%,426.81,8 anos,Empréstimo,82996.0,Verificado,Não Pago,Consolidação de Dívida,23.4%,0,413.5969348659004,1,6
19865.0,Curto,13.4%,685.0600000000001,6 anos,Empréstimo,144000.0,Não Verificado,Não Pago,Cartão de Crédito,10.2%,0,385.66183574879227,1,12
3776.0,Curto,6.5%,119.18,menos de 1 ano,Empréstimo,34000.0,Não Verificado,Pago,Consolidação de Dívida,18.0%,0,454.3321672497085,0,9
14014.0,Curto,12.6%,476.75,3 anos,Alugado,67000.0,Fonte Verificada,Pago,Consolidação de Dívida,19.5%,0,423.53106779943363,1,2
2500.0,Longo,15.6%,64.19,5 anos,Alugado,15008.0,Não Verificado,Não Pago,Consolidação de Dívida,10.8%,1,520.0666666666666,2,7
19988.0,Longo,18.8%,521.63,mais de 10 anos,Alugado,83200.0,Verificado,Pago,Consolidação de Dívida,15.1%,0,388.6105280692987,2,2
10646.0,Longo,11.5%,231.25,mais de 10 anos,Empréstimo,34729.6,Não Verificado,Não Pago,Cartão de Crédito,20.2%,0,473.3807829418624,3,7
8004.0,Curto,6.0%,249.03,4 anos,Alugado,30000.0,Não Verificado,Pago,Consolidação de Dívida,27.5%,0,298.0656338497418,0,12
15142.0,Curto,8.9%,481.66,6 anos,Alugado,88000.0,Verificado,Não Pago,Cartão de Crédito,11.0%,0,439.9303681492587,3,11
20122.0,Longo,16.5%,501.58,mais de 10 anos,Empréstimo,67000.0,Verificado,Não Pago,Consolidação de Dívida,12.5%,0,339.53106779943363,1,5
13904.0,Longo,18.6%,360.09,3 anos,Empréstimo,62000.0,Verificado,Não Pago,Pequena Empresa,4.6%,0,431.19790104947526,9,7
1318.0,Longo,13.8%,40.14,2 anos,Alugado,27500.0,Verificado,Pago,Compra Importante,6.3%,0,338.89905047476265,1,10
1447.0,Curto,11.9%,55.79,menos de 1 ano,Alugado,24000.0,Fonte Verificada,Não Pago,Consolidação de Dívida,14.8%,0,478.6658337497918,2,1
6379.0,Curto,17.5%,238.93,2 anos,Alugado,33200.0,Verificado,Pago,Outro,15.9%,0,374.27886056971516,0,8
3544.0,Curto,14.3%,127.68,menos de 1 ano,Alugado,35000.0,Não Verificado,Pago,Consolidação de Dívida,20.2%,0,404.39880059970017,1,1
15931.0,Longo,19.3%,422.37,7 anos,Empréstimo,73000.0,Fonte Verificada,Pago,Consolidação de Dívida,12.9%,0,341.93086789938366,1,5
7852.0,Curto,9.6%,261.17,6 anos,Empréstimo,127000.0,Verificado,Pago,Compra Importante,10.5%,0,297.52906879893385,3,5
22649.0,Longo,14.7%,533.5,mais de 10 anos,Empréstimo,46000.0,Verificado,Pago,Pequena Empresa,2.5%,0,456.1317674496085,1,12
1898.0,Curto,10.6%,71.99000000000001,2 anos,Alugado,22200.0,Não Verificado,Pago,Consolidação de Dívida,16.1%,0,461.54589371980677,3,6
4641.0,Curto,14.0%,162.45,5 anos,Alugado,51000.0,Verificado,Não Pago,Consolidação de Dívida,14.3%,0,530.4649341995669,5,9
20120.0,Longo,13.2%,462.59000000000003,6 anos,Alugado,108000.0,Verificado,Não Pago,Consolidação de Dívida,24.0%,0,420.2630351490921,1,2
8978.0,Curto,7.7%,284.40000000000003,3 anos,Alugado,36000.0,Não Verificado,Pago,Consolidação de Dívida,29.9%,0,272.4654339496918,1,12
18304.0,Longo,18.8%,480.64,3 anos,Empréstimo,86000.0,Verificado,Pago,Pequena Empresa,12.6%,0,380.7971014492754,1,5
3107.0,Curto,13.6%,115.4,3 anos,Alugado,25000.0,Não Verificado,Pago,Outro,17.5%,0,347.73246709978343,0,7
8983.0,Longo,10.4%,199.82,menos de 1 ano,Alugado,60000.0,Verificado,Pago,Consolidação de Dívida,12.1%,0,286.06463434949194,1,12
