montante_financiado,prazo,taxa_de_juros,parcela,tempo_de_emprego,propriedade_de_casa,renda_anual,status_de_verificacao,finalidade,divida_sobre_renda,inadimplencias_2_anos,score_de_credito,numero_de_dependentes,anos_na_residencia_atual
9504.0,Curto,13.3%,323.72999999999996,9 anos,Empréstimo,52000.0,Não Verificado,Cartão de Crédito,17.0%,0,393.53156754955853,0,1
15991.0,Longo,11.5%,358.03000000000003,mais de 10 anos,Empréstimo,52646.0,Verificado,Outro,23.9%,0,321.5746126936532,2,7
3008.0,Curto,6.9%,98.68,2 anos,Empréstimo,42000.0,Não Verificado,Compra Importante,22.1%,0,418.86523404964186,2,5
18007.0,Curto,9.6%,580.37,6 anos,Empréstimo,36244.0,Verificado,Consolidação de Dívida,4.0%,0,285.4816924870898,5,3
17901.0,Curto,11.5%,601.62,9 anos,Empréstimo,63000.0,Fonte Verificada,Outro,7.5%,0,541.2645343994669,4,1
20082.0,Curto,11.7%,665.56,4 anos,Empréstimo,63000.0,Verificado,Cartão de Crédito,9.6%,0,367.2645343994669,1,10
4959.0,Curto,9.9%,162.07,,Alugado,37516.8,Fonte Verificada,Consolidação de Dívida,17.9%,1,455.5665034149592,0,4
17136.0,Curto,10.0%,552.6800000000001,8 anos,Alugado,45000.0,Fonte Verificada,Consolidação de Dívida,23.5%,0,272.06513409961684,1,8
5029.0,Longo,14.0%,124.08000000000001,menos de 1 ano,Alugado,17200.0,Não Verificado,Consolidação de Dívida,15.9%,0,311.2127269698484,0,10
15079.0,Curto,14.0%,519.22,4 anos,Empréstimo,33112.0,Fonte Verificada,Consolidação de Dívida,14.2%,0,288.2729968349159,0,12
2590.0,Curto,16.0%,91.81,menos de 1 ano,Alugado,44420.0,Verificado,Consolidação de Dívida,19.7%,0,314.0264867566217,1,9
8099.0,Curto,16.9%,290.57,4 anos,Empréstimo,83000.0,Verificado,Melhoria da Casa,18.1%,2,446.59720139930033,0,7
7938.0,Curto,13.5%,272.45,mais de 10 anos,Empréstimo,53000.0,Fonte Verificada,Consolidação de Dívida,20.4%,0,334.59820089955025,3,7
9387.0,Curto,8.9%,306.24,2 anos,Empréstimo,119700.0,Não Verificado,Melhoria da Casa,2.8%,0,420.04264534399465,2,8
4894.0,Curto,16.4%,184.97,menos de 1 ano,Alugado,55996.0,Verificado,Outro,0.3%,0,511.7978344161253,1,8
7977.0,Curto,14.7%,284.7,3 anos,Alugado,29000.0,Não Verificado,Carro,12.6%,0,400.99900049975014,2,3
10049.0,Curto,8.9%,317.99,3 anos,Empréstimo,63000.0,Não Verificado,Consolidação de Dívida,13.6%,0,256.2645343994669,2,2
5005.0,Curto,7.9%,157.94,3 anos,Próprio,13200.0,Fonte Verificada,Consolidação de Dívida,15.4%,0,511.9461935698817,2,6
2762.0,Curto,15.2%,102.18,mais de 10 anos,Alugado,80000.0,Não Verificado,Outro,9.6%,0,368.39730134932535,6,8
5687.0,Curto,12.7%,197.75,menos de 1 ano,Alugado,27000.0,Fonte Verificada,Cartão de Crédito,4.3%,1,521.8657337997668,2,5
4141.0,Curto,6.8%,125.58999999999999,1 ano,Alugado,40200.0,Verificado,Mudança,23.5%,0,417.74529401965685,1,1
10041.0,Curto,11.5%,338.98,8 anos,Empréstimo,68000.0,Fonte Verificada,Melhoria da Casa,9.6%,3,382.5977011494253,1,2
8507.0,Curto,8.9%,275.22,menos de 1 ano,Alugado,25120.0,Não Verificado,Melhoria da Casa,19.6%,0,540.7404631017824,7,3
15136.0,Curto,11.3%,500.65999999999997,7 anos,Empréstimo,64004.0,Não Verificado,Consolidação de Dívida,5.5%,0,344.3314342828586,2,4
29978.0,Longo,13.5%,692.14,1 ano,Alugado,83500.0,Fonte Verificada,Consolidação de Dívida,10.3%,0,485.63051807429616,0,11
1210.0,Curto,13.2%,49.57,menos de 1 ano,Alugado,13400.0,Não Verificado,Outro,21.3%,1,455.9595202398801,1,3
20052.0,Curto,6.9%,622.26,8 anos,Alugado,60000.0,Verificado,Consolidação de Dívida,22.4%,0,372.06463434949194,2,6
1741.0,Curto,13.2%,67.3,mais de 10 anos,Alugado,27040.0,Fonte Verificada,Carro,3.1%,0,417.86839913376645,3,3
2880.0,Curto,6.0%,92.11,3 anos,Alugado,31000.0,Não Verificado,Consolidação de Dívida,19.2%,0,439.13226719973346,0,4
8065.0,Longo,16.4%,198.2,9 anos,Alugado,38996.0,Fonte Verificada,Consolidação de Dívida,17.5%,0,392.66506746626686,2,1
10060.0,Curto,6.0%,311.6,,Alugado,61000.0,Fonte Verificada,Pequena Empresa,14.1%,0,489.1312676994836,2,1
14999.0,Longo,17.6%,386.86,6 anos,Empréstimo,77000.0,Não Verificado,Consolidação de Dívida,13.5%,0,325.1974012993503,2,1
24952.0,Longo,16.7%,618.0899999999999,7 anos,Empréstimo,124000.0,Fonte Verificada,Consolidação de Dívida,14.4%,0,457.32916874895886,1,6
25081.0,Longo,12.0%,558.17,mais de 10 anos,Empréstimo,76000.0,Verificado,Médica,25.7%,0,434.13076794935864,0,4
11618.0,Curto,5.8%,358.75,3 anos,Empréstimo,82000.0,Verificado,Compra Importante,3.2%,0,330.53056804930867,7,6
6862.0,Curto,7.3%,222.56,4 anos,Alugado,87175.0,Verificado,Consolidação de Dívida,8.0%,0,318.8753956355156,1,4
35120.0,Longo,17.5%,888.1700000000001,4 anos,Empréstimo,111000.0,Verificado,Consolidação de Dívida,15.0%,1,411.46293519906715,0,9
9856.0,Curto,11.3%,334.91999999999996,2 anos,Alugado,51000.0,Verificado,Consolidação de Dívida,12.2%,0,294.46493419956687,1,9
4913.0,Longo,13.6%,122.61999999999999,mais de 10 anos,Empréstimo,53996.0,Fonte Verificada,Consolidação de Dívida,2.5%,0,431.6645677161419,0,1
12110.0,Longo,16.5%,304.90999999999997,mais de 10 anos,Alugado,50000.0,Verificado,Pequena Empresa,18.6%,0,514.3983008495752,2,10
1409.0,Curto,11.5%,52.34,mais de 10 anos,Alugado,31000.0,Não Verificado,Outro,1.3%,1,382.13226719973346,1,6
3070.0,Curto,10.0%,99.19999999999999,7 anos,Alugado,79000.0,Fonte Verificada,Consolidação de Dívida,8.4%,0,458.3306679993337,1,6
16578.0,Curto,10.7%,539.98,menos de 1 ano,Próprio,41400.0,Verificado,Consolidação de Dívida,23.2%,1,367.82525403964684,2,3
13038.0,Curto,10.7%,431.96999999999997,menos de 1 ano,Alugado,37400.0,Fonte Verificada,Consolidação de Dívida,19.2%,0,256.55872063968013,0,6
35085.0,Longo,20.5%,938.98,mais de 10 anos,Empréstimo,103000.0,Verificado,Consolidação de Dívida,20.3%,0,333.92986839913374,1,12
12328.0,Longo,17.5%,310.74,3 anos,Empréstimo,24004.0,Verificado,Melhoria da Casa,12.5%,0,397.6661002831917,1,4
1206.0,Curto,11.9%,41.239999999999995,1 ano,Alugado,15000.0,Não Verificado,Educação,24.1%,0,275.06613359986676,2,4
6073.0,Curto,13.3%,211.63,4 anos,Alugado,33364.0,Não Verificado,Consolidação de Dívida,0.5%,0,419.28978843911375,1,8
6020.0,Curto,8.9%,200.04,5 anos,Empréstimo,53000.0,Fonte Verificada,Médica,16.6%,1,542.5982008995502,3,9
29928.0,Curto,16.5%,1070.71,6 anos,Empréstimo,118000.0,Verificado,Outro,12.2%,1,298.92936864900884,2,5
25148.0,Longo,14.0%,590.7800000000001,3 anos,Empréstimo,120000.0,Verificado,Consolidação de Dívida,24.1%,0,282.06263534899216,0,8
10090.0,Longo,13.5%,235.11,3 anos,Próprio,42000.0,Fonte Verificada,Casa,21.6%,0,344.86523404964186,1,10
24064.0,Longo,18.0%,617.49,mais de 10 anos,Alugado,73528.0,Verificado,Consolidação de Dívida,18.8%,0,292.96605030817926,2,1
10148.0,Curto,13.2%,340.73,2 anos,Alugado,69000.0,Não Verificado,Consolidação de Dívida,18.2%,1,436.66433449941695,4,3
9420.0,Longo,10.4%,211.10999999999999,1 ano,Alugado,44000.0,Não Verificado,Outro,7.3%,0,415.9985007496252,2,11
2429.0,Curto,7.5%,83.64,,Empréstimo,64554.4,Não Verificado,Compra Importante,8.8%,0,477.36810927869396,2,8
15142.0,Curto,6.0%,464.67,3 anos,Próprio,132000.0,Verificado,Melhoria da Casa,10.9%,0,309.8622355488922,2,1
5909.0,Longo,9.6%,135.44,7 anos,Empréstimo,63000.0,Não Verificado,Melhoria da Casa,10.1%,0,477.2645343994669,1,10
15043.0,Curto,15.4%,523.4200000000001,8 anos,Alugado,135000.0,Verificado,Consolidação de Dívida,18.1%,1,397.06213559886726,0,4
14923.0,Curto,15.3%,524.17,8 anos,Empréstimo,58000.0,Verificado,Consolidação de Dívida,15.5%,1,280.93136764950856,0,2
6388.0,Curto,13.2%,221.83,4 anos,Empréstimo,67000.0,Não Verificado,Melhoria da Casa,16.2%,0,299.53106779943363,4,5
10129.0,Curto,9.6%,321.94,9 anos,Empréstimo,42700.0,Verificado,Outro,1.4%,0,412.911877394636,1,5
1885.0,Curto,7.9%,69.76,3 anos,Empréstimo,62000.0,Não Verificado,Outro,25.4%,0,408.19790104947526,3,3
24912.0,Curto,14.6%,865.37,mais de 10 anos,Alugado,50000.0,Não Verificado,Compra Importante,4.0%,0,402.3983008495752,7,10
2039.0,Curto,5.4%,67.39,mais de 10 anos,Alugado,31000.0,Não Verificado,Consolidação de Dívida,3.6%,0,444.13226719973346,3,11
5108.0,Longo,10.7%,112.78999999999999,9 anos,Alugado,17900.0,Não Verificado,Outro,25.9%,0,428.25937031484256,4,4
5921.0,Curto,7.0%,192.72,5 anos,Alugado,43000.0,Não Verificado,Outro,29.4%,0,422.9318673996335,3,12
8896.0,Longo,19.7%,238.53,mais de 10 anos,Próprio,45590.44,Verificado,Consolidação de Dívida,18.5%,0,342.1044770947859,1,12
13507.0,Curto,12.4%,458.51,5 anos,Alugado,80000.0,Verificado,Consolidação de Dívida,19.1%,0,337.39730134932535,0,5
2519.0,Curto,17.6%,94.31,mais de 10 anos,Empréstimo,28200.0,Fonte Verificada,Médica,6.3%,1,453.9456938197568,2,11
19952.0,Curto,13.5%,680.37,mais de 10 anos,Empréstimo,100000.0,Não Verificado,Cartão de Crédito,12.9%,0,336.72996834915875,3,3
3521.0,Curto,14.8%,134.04000000000002,9 anos,Alugado,72000.0,Fonte Verificada,Consolidação de Dívida,15.2%,0,301.864234549392,0,6
4451.0,Curto,5.4%,144.18,mais de 10 anos,Empréstimo,96000.0,Não Verificado,Melhoria da Casa,14.2%,0,411.46343494919205,3,11
14967.0,Curto,8.5%,482.27,6 anos,Empréstimo,93000.0,Verificado,Casamento,4.5%,0,401.26353489921706,0,9
14973.0,Longo,14.8%,364.53,1 ano,Empréstimo,36000.0,Não Verificado,Consolidação de Dívida,18.1%,0,430.4654339496918,2,7
6604.0,Longo,8.9%,140.31,7 anos,Empréstimo,63600.0,Verificado,Médica,21.0%,0,369.30451440946194,1,1
21099.0,Longo,17.5%,534.99,4 anos,Empréstimo,71000.0,Verificado,Consolidação de Dívida,12.6%,0,529.7976011994003,4,1
3376.0,Longo,13.5%,82.97,2 anos,Alugado,31112.0,Não Verificado,Casa,14.1%,0,499.1397301349325,1,7
5916.0,Curto,10.6%,199.36,8 anos,Alugado,29840.0,Verificado,Consolidação de Dívida,16.2%,0,509.0549725137431,1,3
14851.0,Longo,20.1%,407.38,3 anos,Alugado,43000.0,Fonte Verificada,Consolidação de Dívida,13.7%,0,550.9318673996336,2,8
19977.0,Curto,9.9%,653.89,1 ano,Empréstimo,71000.0,Verificado,Consolidação de Dívida,14.4%,0,397.7976011994003,1,10
12889.0,Longo,11.1%,285.96999999999997,mais de 10 anos,Empréstimo,59500.0,Verificado,Casamento,15.7%,0,528.0313176744961,2,9
18012.0,Curto,11.0%,596.47,4 anos,Alugado,80972.0,Não Verificado,Outro,22.8%,1,400.46206896551723,1,8
14257.0,Longo,10.4%,306.90000000000003,6 anos,Empréstimo,81000.0,Verificado,Outro,25.4%,0,324.463934699317,2,7
7564.0,Longo,12.6%,177.49,menos de 1 ano,Empréstimo,112000.0,Verificado,Melhoria da Casa,6.6%,0,316.5295685490588,0,4
3014.0,Curto,15.6%,116.04,1 ano,Empréstimo,30000.0,Fonte Verificada,Consolidação de Dívida,24.5%,0,338.0656338497418,2,4
5407.0,Longo,14.8%,131.32999999999998,menos de 1 ano,Alugado,52996.0,Fonte Verificada,Consolidação de Dívida,11.0%,0,367.59793436615024,2,2
6062.0,Curto,8.5%,190.72,5 anos,Alugado,32000.0,Não Verificado,Consolidação de Dívida,20.3%,0,296.1989005497251,0,7
2951.0,Curto,11.5%,100.60000000000001,1 ano,Alugado,19000.0,Não Verificado,Consolidação de Dívida,19.2%,0,356.3326669998334,0,7
8034.0,Curto,10.7%,266.53999999999996,menos de 1 ano,Alugado,44816.0,Fonte Verificada,Carro,1.9%,0,534.0528735632183,2,8
11964.0,Longo,17.5%,306.92,6 anos,Alugado,32000.0,Verificado,Consolidação de Dívida,22.3%,0,422.1989005497251,2,7
18289.0,Curto,17.0%,657.0699999999999,1 ano,Alugado,41500.0,Não Verificado,Consolidação de Dívida,15.0%,1,392.831917374646,1,8
10028.0,Curto,7.7%,321.5,6 anos,Alugado,78200.0,Não Verificado,Consolidação de Dívida,28.3%,0,301.27736131934034,1,3
6325.0,Curto,7.5%,208.99,mais de 10 anos,Próprio,43000.0,Não Verificado,Cartão de Crédito,24.3%,0,388.9318673996335,2,9
14855.0,Curto,9.9%,486.92,9 anos,Alugado,35000.0,Não Verificado,Outro,16.4%,0,365.39880059970017,0,1
6021.0,Curto,11.5%,205.73000000000002,2 anos,Alugado,30000.0,Não Verificado,Mudança,13.7%,3,467.0656338497418,2,10
27133.0,Longo,18.4%,700.59,menos de 1 ano,Próprio,59000.0,Fonte Verificada,Consolidação de Dívida,14.8%,0,340.9980009995003,2,5
4597.0,Curto,12.4%,159.44,4 anos,Empréstimo,40000.0,Não Verificado,Médica,5.7%,0,358.7319673496585,1,3
4892.0,Curto,13.0%,163.64,3 anos,Alugado,22400.0,Não Verificado,Consolidação de Dívida,23.3%,0,366.5592203898051,1,9
9911.0,Curto,13.4%,343.46999999999997,mais de 10 anos,Empréstimo,64000.0,Verificado,Consolidação de Dívida,19.5%,0,458.3311677494586,0,1
11950.0,Curto,11.1%,400.36,5 anos,Empréstimo,82248.0,Verificado,Casamento,11.7%,0,396.54709312010664,1,11
3373.0,Curto,11.0%,116.27,5 anos,Empréstimo,49000.0,Verificado,Melhoria da Casa,6.5%,2,345.33166749958355,1,5
8092.0,Curto,11.5%,271.88,mais de 10 anos,Próprio,19600.0,Não Verificado,Energia Renovável,16.9%,0,549.3726470098284,0,4
7195.0,Longo,15.0%,171.23,3 anos,Alugado,69004.0,Não Verificado,Consolidação de Dívida,14.8%,0,345.6646010328169,0,2
5869.0,Curto,10.8%,200.7,mais de 10 anos,Empréstimo,45097.0,Não Verificado,Consolidação de Dívida,2.1%,0,317.071597534566,0,1
12104.0,Curto,15.7%,425.29999999999995,4 anos,Empréstimo,79000.0,Verificado,Consolidação de Dívida,14.2%,0,457.3306679993337,0,2
